Controversial Flag,Number of Planets in System,Orbital Period [days],Orbital Period Upper Unc. [days],Orbital Period Lower Unc. [days],Orbital Period Limit Flag,Orbit Semi-Major Axis [au]),Orbit Semi-Major Axis Upper Unc. [au],Orbit Semi-Major Axis Lower Unc. [au],Orbit Semi-Major Axis Limit Flag,Dec [sexagesimal],Dec [decimal degrees],Distance [pc],Distance Upper Unc. [pc],Distance Lower Unc. [pc],Gaia Distance [pc],Gaia Distance Upper Unc. [pc],Gaia Distance Lower Unc. [pc],Optical Magnitude [mag],G-band (Gaia) [mag],Effective Temperature [K],Effective Temperature Upper Unc. [K],Effective Temperature Lower Unc. [K],Stellar Mass [Solar mass],Stellar Mass Upper Unc. [Solar mass],Stellar Mass Lower Unc. [Solar mass],Stellar Radius [Solar radii],Stellar Radius Upper Unc. [Solar radii],Stellar Radius Lower Unc. [Solar radii],Time of Periastron Lower Unc. [days],Radial Velocity Amplitude [m/s],Radial Velocity Amplitude Upper Unc. [m/s],Radial Velocity Amplitude Lower Unc. [m/s],Planet M*sin(i) [Jupiter mass],Planet M*sin(i) Upper Unc. [Jupiter mass],Planet M*sin(i) Lower Unc. [Jupiter mass],Planet Mass [Earth mass],Planet Mass Upper Unc. [Earth mass],Planet Mass Lower Unc. [Earth mass],Planet M*sin(i) [Earth mass],Planet M*sin(i) Upper Unc. [Earth mass],Planet M*sin(i) Lower Unc. [Earth mass],Planet Mass or M*sin(i) [Earth mass],Planet Mass or M*sin(i) Upper Unc. [Earth mass],Planet Mass or M*sin(i) Lower Unc. [Earth mass],Planet Radius [Earth radii],Planet Radius Upper Unc. [Earth radii],Planet Radius Lower Unc. [Earth radii],Planet Radius [Solar radii],Planet Radius Upper Unc. [Solar radii],Planet Radius Lower Unc. [Solar radii],Transit Depth [percent],Ratio of Planet to Stellar Radius,Ratio of Planet to Stellar Radius Upper Unc.,Ratio of Planet to Stellar Radius Lower Unc.,Number of Moons in System,Number of Stellar and Planet Parameters,Number of Stellar and Planet References,RA [hrs],Galactic Longitude [deg],Galactic Latitude [deg],Ecliptic Longitude [deg],Ecliptic Latitude [deg],Parallax [mas],Parallax Upper Unc. [mas],Parallax Lower Unc. [mas],Gaia Parallax [mas],Gaia Parallax Upper Unc. [mas],Gaia Parallax Lower Unc. [mas],Proper Motion (RA) [mas/yr],Proper Motion (RA) Unc. [mas/yr],Proper Motion (Dec) [mas/yr],Proper Motion (Dec) Unc. [mas/yr],Total Proper Motion [mas/yr],Total Proper Motion Unc. [mas/yr],Gaia Proper Motion (RA) [mas/yr],Gaia Proper Motion (RA) Unc. [mas/yr],Gaia Proper Motion (Dec) [mas/yr],Gaia Proper Motion (Dec) Unc. [mas/yr],Gaia Total Proper Motion [mas/yr],Gaia Total Proper Motion Unc. [mas/yr],Radial Velocity [km/s],Radial Velocity Upper Unc. [km/s],Radial Velocity Lower Unc. [km/s],Spectral Type,Stellar Surface Gravity [log10(cm/s**2)],Stellar Surface Gravity Upper Unc. [log10(cm/s**2)],Stellar Surface Gravity Lower Unc. [log10(cm/s**2)],Stellar Luminosity [log(Solar)],Stellar Luminosity Upper Unc. [log(Solar)],Stellar Luminosity Lower Unc. [log(Solar)],Stellar Metallicity [dex],Stellar Metallicity Upper Unc. [dex],Stellar Metallicity Lower Unc. [dex],Stellar Age [Gyr],Stellar Age Upper Unc. [Gyr],Stellar Age Lower Unc. [Gyr],Rot. Velocity V*sin(i) [km/s],Rot. Velocity V*sin(i) Upper Unc. [km/s],Rot. Velocity V*sin(i) Lower Unc. [km/s],V-band (Johnson) [mag],V-band (Johnson) Unc. [mag],B-band (Johnson) [mag],B-band (Johnson) Unc. [mag],R-band (Cousins) [mag],J-band (2MASS) [mag],J-band (2MASS) Unc. [mag],H-band (2MASS) [mag],H-band (2MASS) Unc. [mag],Ks-band (2MASS) [mag],Ks-band (2MASS) Unc. [mag],WISE 3.4um [mag],WISE 3.4um Unc. [mag],WISE 4.6um [mag],WISE 4.6um Unc. [mag],WISE 12.um [mag],WISE 12.um Unc. [mag],WISE 22.um [mag],WISE 22.um Unc. [mag],IRAS 100um Flux Limit Flag,Number of Photometry Measurements,U-B (Johnson) [mag],U-B (Johnson) Unc. [mag],B-V (Johnson) [mag],B-V (Johnson) Unc. [mag],J-H (2MASS) [mag],J-H (2MASS) Unc. [mag],H-Ks (2MASS) [mag],H-Ks (2MASS) Unc. [mag],J-Ks (2MASS) [mag],J-Ks (2MASS) Unc. [mag],b-y (Stromgren) [mag],b-y (Stromgren) Unc. [mag],m1 (Stromgren) [mag],m1 (Stromgren) Unc. [mag],c1 (Stromgren) [mag],c1 (Stromgren) Unc. [mag],Number of Color Measurements
848,0,1,434,3,-3,0,1.14,0.08,-0.08,12.416262,6.40714,545.99,20.6,-20.6,545.99,20.6,-20.6,7.491,6.985,4076,15,-15,1.05,0.19,-0.19,42.4,9.2,-9.2,-27,370,12,-9,13.9,2.4,-2.4,,,,4417.837,762.792,-762.792,4417.837,762.792,-762.792,,,,,,,,,,,0,16,14,0.82775078,122.134702,-56.461849,13.913893,0.99651,1.83,0.07,-0.07,1.83,0.07,-0.07,-21.337,0.107,-0.162,0.067,21.338,0.107,-21.337,0.107,-0.162,0.067,21.338,0.107,-67.26,0.02,-0.01,5.2,1.62,0.08,-0.08,2.93,0.11,-0.11,-0.91,0.09,-0.09,,,,1.4,1.1,-1.1,7.491,0.013,8.889,0.024,,4.916,0.037,4.194,0.202,3.993,0.027,3.929,0.447,3.839,0.244,3.921,0.014,3.876,0.022,1,23,,,1.398,0.027,0.722,0.205,0.201,0.204,0.923,0.046,,,,,,,6
849,0,1,778.51,5.38,-5.18,0,1.814,0.03,-0.031,100.007195,-48.541954,90.78,0.27,-0.27,90.78,0.27,-0.27,8.051,7.879,5733,55,-55,1.31,0.06,-0.06,1.9,0.13,-0.13,-36.5,28.65,1.59,-1.57,1.525,0.049,-0.05,,,,484.69075,15.57367,-15.8915,484.69075,15.57367,-15.8915,,,,,,,,,,,0,50,23,6.6671463,257.527069,-21.780536,110.976181,-71.25329,11.02,0.03,-0.03,11.02,0.03,-0.03,26.4,0.1,29.7,0.1,39.8,0.1,26.4,0.1,29.7,0.1,39.8,0.1,22.5,0.2,-0.2,4.5,3.97,0.05,-0.05,,,,0.3,0.04,-0.04,4.201,0.625,-0.625,3.1,0.3,-0.3,8.051,,8.797,,,6.842,0.021,6.529,0.061,6.449,0.02,6.469,0.08,6.41,0.025,6.449,0.016,6.388,0.057,,17,,,0.722,0.013,0.313,0.065,0.08,0.064,0.393,0.029,0.452,0.005,0.253,0.008,0.42,0.005,11
850,0,1,400.5,1.7,-1.7,0,1.167,0.065,-0.065,12.776146,-12.927608,205.45,2.48,-2.48,205.45,2.48,-2.48,8.03,7.749,4802,,,1.32,,,5.01,,,-84,37.1,2.2,-2.2,1.615,0.092,-0.092,,,,513.29545,29.24036,-29.24036,513.29545,29.24036,-29.24036,,,,,,,,,,,0,14,12,0.85174306,122.60077,-75.799171,6.527528,-16.917516,4.87,0.06,-0.06,4.87,0.06,-0.06,24.032,0.141,-14.373,0.068,28.002,0.126,24.032,0.141,-14.373,0.068,28.002,0.126,-11.3,0.14,-0.14,5,2.97,,,,,,,,,,,,,,,8.03,,9.083,0.024,,6.25,0.018,5.707,0.029,5.61,0.018,5.547,0.178,5.482,0.053,5.598,0.015,5.521,0.037,,14,,,1.039,0.028,0.543,0.034,0.097,0.034,0.64,0.025,,,,,,,5
851,0,1,4.94737,0.00098,-0.00098,0,0.06,0,0,102.877151,40.867756,43.09,0.08,-0.08,43.09,0.08,-0.08,8.1,7.918,5602,21,-21,1.03,0.11,-0.11,1.02,0.01,-0.01,,12,0.9,-0.9,0.1,0.01,-0.01,,,,31.783,3.1783,-3.1783,31.783,3.1783,-3.1783,,,,,,,,,,,0,45,22,6.85847677,175.33875,17.371504,100.200244,17.883351,23.21,0.04,-0.04,23.21,0.04,-0.04,34.6,0.1,-122.8,0.1,127.6,0.1,34.6,0.1,-122.8,0.1,127.6,0.1,11.8,0.3,-0.3,4.5,4.44,0.04,-0.04,,,,0.32,,,,,,0.42,0.5,-0.5,8.1,,,,,6.835,0.029,6.523,0.018,6.432,0.016,6.407,0.079,6.42,0.025,6.46,0.016,6.361,0.073,,16,,,0.73,,0.312,0.034,0.091,0.024,0.403,0.033,,,,,,,6
852,0,2,2447.1,21.92,-21.72,0,3.833,0.0305,-0.03,103.008438,-33.915562,46.35,0.06,-0.06,46.35,0.06,-0.06,7.207,7.056,6102,54,-54,1.25,0.02,-0.02,1.35,0.05,-0.05,-57.6,21.99,1.08,-1.02,1.636,0.017,-0.017,,,,519.96988,5.40311,-5.40311,519.96988,5.40311,-5.40311,,,,,,,,,,,0,59,26,6.86722921,243.878274,-14.625739,109.763251,-56.465801,21.58,0.03,-0.03,21.58,0.03,-0.03,-69.3,0,68.1,0,97.2,0,-69.3,0,68.1,0,97.2,0,36.5,0.2,-0.2,4.1,4.25,0.03,-0.03,,,,0.26,0.04,-0.04,2.391,0.633,-0.633,4.313,,,7.207,0.004,7.816,0.016,,6.152,0.019,5.884,0.029,5.836,0.016,5.844,0.137,5.747,0.044,5.839,0.014,5.773,0.039,,15,,,0.628,0.014,0.268,0.035,0.048,0.033,0.316,0.025,0.386,0.003,0.203,0.004,0.409,0.005,10
853,0,2,8619.9,2622.495,-405.4275,0,9.02,1.73,-0.33,103.008438,-33.915562,46.35,0.06,-0.06,46.35,0.06,-0.06,7.207,7.056,6102,54,-54,1.25,0.02,-0.02,1.35,0.05,-0.05,-2885,24.23,3.79,-0.95,2.93,0.73,-0.18,,,,931.2419,232.0159,-57.2094,931.2419,232.0159,-57.2094,,,,,,,,,,,0,39,26,6.86722921,243.878274,-14.625739,109.763251,-56.465801,21.58,0.03,-0.03,21.58,0.03,-0.03,-69.3,0,68.1,0,97.2,0,-69.3,0,68.1,0,97.2,0,36.5,0.2,-0.2,4.1,4.25,0.03,-0.03,,,,0.26,0.04,-0.04,2.391,0.633,-0.633,4.313,,,7.207,0.004,7.816,0.016,,6.152,0.019,5.884,0.029,5.836,0.016,5.844,0.137,5.747,0.044,5.839,0.014,5.773,0.039,,15,,,0.628,0.014,0.268,0.035,0.048,0.033,0.316,0.025,0.386,0.003,0.203,0.004,0.409,0.005,10
854,0,1,1293,37,-37,0,2.353,0.0452,-0.0452,103.678436,24.245558,31.19,0.06,-0.06,31.19,0.06,-0.06,6.84,6.698,5987,70,-70,1.04,0.01,-0.01,1.02,0.02,-0.02,,104,5,-5,4.954,0.389,-0.389,,,,1574.464,123.631,-123.631,1574.464,123.631,-123.631,,,,,,,,,,,0,72,31,6.91189575,191.410151,11.469658,102.455316,1.395755,32.06,0.06,-0.06,32.06,0.06,-0.06,-35.9,0.1,-96.9,0.1,103.3,0.1,-35.9,0.1,-96.9,0.1,103.3,0.1,-4.2,0.2,-0.2,3.8,,,,0.143,0.063,-0.063,-0.04,0.03,-0.03,2.16,0.29,-0.29,3.9,0.5,-0.5,6.84,0.02,7.41,0.03,,5.776,0.02,5.516,0.026,5.467,0.018,5.467,0.159,5.33,0.061,5.499,0.015,5.406,0.037,,20,,,0.57,0.02,0.26,0.033,0.049,0.032,0.309,0.027,0.366,0.003,0.179,0.004,0.344,0.005,9
855,0,2,14.0726,0.0016,-0.0016,0,0.1059,0.0043,-0.0046,103.713921,-55.259327,34.83,0.62,-0.62,35.09,0.03,-0.03,8.17,7.961,5358,22,-22,0.8,,,,,,-1.1073,3.95,0.16,-0.16,0.0402,0.0038,-0.0037,,,,12.77,1.2,-1.19,12.77,1.2,-1.19,,,,,,,,,,,0,20,21,6.91426137,265.155834,-21.539054,126.728167,-76.943479,28.71,0.51,-0.51,28.5,0.03,-0.03,-27.951,0.051,-160.436,0.056,162.853,0.056,-27.951,0.051,-160.436,0.056,162.853,0.056,39.88,0.15,-0.15,4.7,4.36,0.05,-0.05,-0.244,0.015,-0.016,-0.07,0.01,-0.01,,,,1.3,,,8.17,,8.93,,7.74,6.813,0.024,6.451,0.018,6.328,0.018,6.29,0.098,6.227,0.026,6.326,0.015,6.267,0.035,,21,,,0.77,,0.362,0.03,0.123,0.025,0.485,0.03,0.461,0.007,0.297,0.008,0.325,0.002,14
856,0,2,95.9446,0.1555,-0.1366,0,0.3809,0.0153,-0.0164,103.713921,-55.259327,34.83,0.62,-0.62,35.09,0.03,-0.03,8.17,7.961,5358,22,-22,0.8,,,,,,-9.0495,2.36,0.17,-0.17,0.045,0.0051,-0.0048,,,,14.31,1.63,-1.53,14.31,1.63,-1.53,,,,,,,,,,,0,20,21,6.91426137,265.155834,-21.539054,126.728167,-76.943479,28.71,0.51,-0.51,28.5,0.03,-0.03,-27.951,0.051,-160.436,0.056,162.853,0.056,-27.951,0.051,-160.436,0.056,162.853,0.056,39.88,0.15,-0.15,4.7,4.36,0.05,-0.05,-0.244,0.015,-0.016,-0.07,0.01,-0.01,,,,1.3,,,8.17,,8.93,,7.74,6.813,0.024,6.451,0.018,6.328,0.018,6.29,0.098,6.227,0.026,6.326,0.015,6.267,0.035,,21,,,0.77,,0.362,0.03,0.123,0.025,0.485,0.03,0.461,0.007,0.297,0.008,0.325,0.002,14
857,0,1,119.27,0.02,-0.02,0,0.52,0.009,-0.009,105.07515,-5.367162,30.01,0.04,-0.04,30.01,0.04,-0.04,6.3,6.147,6136,,,1.2,,,,,,,42.97,0.7,-0.7,1.21,0.05,-0.05,,,,384.5743,15.8915,-15.8915,384.5743,15.8915,-15.8915,,,,,,,,,,,0,90,38,7.00500997,218.71735,-0.480917,107.040878,-27.919015,33.33,0.05,-0.05,33.33,0.05,-0.05,-116.5,0.1,80.5,0.1,141.6,0.1,-116.5,0.1,80.5,0.1,141.6,0.1,53.2,0.2,-0.2,4,4.36,,,,,,,,,,,,5.2,1,-1,6.3,,6.87,,,5.242,8.888,5.033,0.034,4.953,0.017,4.981,0.212,4.789,0.094,4.993,0.014,4.919,0.027,1,26,0.09,,0.57,,0.209,8.888,0.08,0.038,0.289,8.888,0.363,0.003,0.181,0.005,0.411,0.006,14
858,0,2,637.1,1.4,-1.4,0,1.57,0.11,-0.11,13.755836,0.789553,121.83,0.71,-0.71,121.83,0.71,-0.71,8.05,7.772,4871,,,1.27,,,4.06,,,-26,31.46,0.83,-0.83,1.556,0.042,-0.042,,,,494.54348,13.34886,-13.34886,494.54348,13.34886,-13.34886,,,,,,,,,,,0,69,21,0.9170557,124.845632,-62.068868,12.966324,-4.699718,8.21,0.05,-0.05,8.21,0.05,-0.05,-5.4,0.1,-49.6,0.1,49.9,0.1,-5.4,0.1,-49.6,0.1,49.9,0.1,0.45,0.13,-0.13,4.5,3.26,,,,,,,,,,,,3.31,0.5,-0.5,8.05,,9.04,,,6.348,0.027,5.864,0.044,5.699,0.02,5.686,0.149,5.584,0.047,5.718,0.014,5.632,0.04,,23,,,0.985,,0.484,0.052,0.165,0.048,0.649,0.034,0.607,0.003,0.406,0.004,0.415,0.006,11
859,0,2,872.2,6,-6,0,1.93,0.13,-0.13,13.755836,0.789553,121.83,0.71,-0.71,121.83,0.71,-0.71,8.05,7.772,4871,,,1.27,,,4.06,,,-58,19.4,1.4,-1.4,1.053,0.072,-0.072,,,,334.67499,22.88376,-22.88376,334.67499,22.88376,-22.88376,,,,,,,,,,,0,57,21,0.9170557,124.845632,-62.068868,12.966324,-4.699718,8.21,0.05,-0.05,8.21,0.05,-0.05,-5.4,0.1,-49.6,0.1,49.9,0.1,-5.4,0.1,-49.6,0.1,49.9,0.1,0.45,0.13,-0.13,4.5,3.26,,,,,,,,,,,,3.31,0.5,-0.5,8.05,,9.04,,,6.348,0.027,5.864,0.044,5.699,0.02,5.686,0.149,5.584,0.047,5.718,0.014,5.632,0.04,,23,,,0.985,,0.484,0.052,0.165,0.048,0.649,0.034,0.607,0.003,0.406,0.004,0.415,0.006,11
860,0,1,1827,10,-10,0,3.18,0.18,-0.18,108.062378,-38.174541,78.15,0.18,-0.18,78.15,0.18,-0.18,7.95,7.811,6012,,,1.29,0.2,-0.2,1.52,0.07,-0.07,-26,76.7,3.9,-3.9,3.87,0.72,-0.72,,,,1230.0021,228.8376,-228.8376,1230.0021,228.8376,-228.8376,,,,,,,,,,,0,16,16,7.20415853,249.585911,-12.613762,118.991948,-59.808921,12.8,0.03,-0.03,12.8,0.03,-0.03,-31.5,0.1,-23,0.1,39,0.1,-31.5,0.1,-23,0.1,39,0.1,19.72,0.15,-0.15,4,,,,0.43,0.04,-0.04,0.37,,,2.64,0.5,-0.5,7,,,7.95,,8.544,0.016,,6.9,0.018,6.686,0.018,6.591,0.02,6.569,0.081,6.558,0.023,6.608,0.016,6.684,0.066,,14,,,0.604,,0.214,0.025,0.095,0.027,0.309,0.027,0.381,0.003,0.192,0.004,0.431,0.006,12
861,0,1,139.35,0.21,-0.22,0,0.53,0.02,-0.02,14.486255,34.985561,221,14,-14,220.54,3.44,-3.44,7.6,7.308,4830,45,-45,1.01,0.1,-0.1,9.09,1.5,-1.5,-17,225.8,4.5,-4,5.78,0.53,-0.53,,,,1837.0574,168.4499,-168.4499,1837.0574,168.4499,-168.4499,,,,,,,,,,,0,17,10,0.96575033,124.439536,-27.867086,27.679718,26.393539,,,,4.53,0.07,-0.07,120.2,0.1,-45.8,0.1,128.6,0.1,120.2,0.1,-45.8,0.1,128.6,0.1,11.68,0.03,-0.03,,2.53,0.14,-0.14,1.61,0.09,-0.09,-0.5,0.18,-0.18,7.41,3.06,-2.17,2.2,2.3,-2.3,7.6,0.01,8.54,0.02,,5.813,0.017,5.34,0.023,5.221,0.013,5.223,0.214,5.158,0.047,5.349,0.024,5.16,0.038,,10,,,0.94,0.03,0.473,0.029,0.119,0.026,0.592,0.021,,,,,,,4
862,0,1,779.9,4.9,-4.9,0,1.911,0.088,-0.088,14.559246,33.950886,58.21,0.22,-0.22,58.21,0.22,-0.22,5.99,5.712,4877,,,1.53,,,5.14,,,-110,28,1.4,-1.4,1.681,0.081,-0.081,,,,534.27223,25.74423,-25.74423,534.27223,25.74423,-25.74423,,,,,,,,,,,0,46,17,0.9706164,124.542446,-28.899549,27.247689,25.432718,17.18,0.06,-0.06,17.18,0.06,-0.06,36.4,0.1,-71.3,0.1,80,0.1,36.4,0.1,-71.3,0.1,80,0.1,-22.8,0.14,-0.14,5,3.19,,,,,,,,,,,,1.37,,,5.99,,6.996,0.015,,4.478,0.256,3.88,0.244,3.826,0.372,3.655,0.455,3.484,0.262,3.683,0.015,3.633,0.021,1,18,,,1.016,0.018,0.598,0.354,0.054,0.445,0.652,0.452,,,,,,,5
863,0,1,492.3,2.3,-2.3,0,1.2,0.02,-0.02,2.470091,-50.267822,53.6,,,51.24,0.09,-0.09,8.29,8.171,5902,61,-61,0.96,0.05,-0.05,1.01,0.05,-0.05,-9,8.79,0.45,-0.45,0.33,0.03,-0.03,,,,104.88,9.54,-9.54,104.88,9.54,-9.54,,,,,,,,,,,0,16,17,0.16467274,319.093862,-65.536177,336.277174,-45.769474,18.64,0.88,-0.88,19.52,0.04,-0.04,-95.9,0,-17.4,0,97.5,0,-95.9,0,-17.4,0,97.5,0,11.46,0.38,-0.38,4.25,4.53,0.1,-0.1,,,,-0.2,0.05,-0.05,5.5,3.1,-3.1,2,,,8.29,,8.9,,,7.218,0.021,6.983,0.021,6.893,0.021,6.827,0.068,6.842,0.019,6.875,0.016,6.851,0.083,,15,,,0.61,,0.235,0.03,0.09,0.03,0.325,0.03,0.382,0.003,0.169,0.004,0.312,0.006,12
864,0,1,177.11,0.32,-0.32,0,0.64,0.04,-0.04,15.1383,20.292484,285.75,4.9,-4.9,285.75,4.9,-4.9,8.25,7.798,4673,123,-123,1.93,0.54,-0.54,10.64,0.99,-0.99,,178.5,4.1,-4.1,7.63,1.43,-1.43,,,,2425.0429,454.4969,-454.4969,2425.0429,454.4969,-454.4969,,,,,,,,,,,0,38,16,1.00922,125.832726,-42.527887,21.830257,12.753808,3.5,0.06,-0.06,3.5,0.06,-0.06,3.2,0.1,-40.1,0.1,40.2,0.1,3.2,0.1,-40.1,0.1,40.2,0.1,-96.16,0.2,-0.2,4.5,2.67,0.09,-0.09,,,,-0.37,,,,,,4.95,0.5,-0.5,8.25,,9.113,0.022,,6.239,0.018,5.725,0.022,5.621,0.016,5.593,0.139,5.535,0.049,5.597,0.014,5.49,0.037,,14,,,0.99,,0.514,0.028,0.104,0.027,0.618,0.024,0.63,0.003,0.343,0.005,0.46,0.008,9
865,0,1,299.36,0.26,-0.31,0,1.086,0.0006,-0.0007,112.951653,17.086046,96.8,2.7,-2.6,89.49,0.73,-0.73,5.442,5.096,4658,24,-24,1.9,0.2,-0.2,13.2,0.3,-0.3,,136.9,3.8,-4.6,6.92,0.18,-0.24,,,,2199.3836,57.2094,-76.2792,2199.3836,57.2094,-76.2792,,,,,,,,,,,0,26,15,7.53011017,201.804004,16.44198,111.959977,-4.620609,10.33,0.28,-0.28,11.17,0.09,-0.09,39.7,0.2,-76.1,0.2,85.8,0.2,39.7,0.2,-76.1,0.2,85.8,0.2,-33.55,0.18,-0.18,5.2,2.49,0.05,-0.05,,,,0.15,0.1,-0.1,1.73,0.47,-0.47,,,,5.442,0.009,6.575,0.015,,3.63,0.252,3.065,0.206,2.922,0.3,,,,,,,,,1,13,,,1.126,0.006,0.565,0.325,0.143,0.364,0.708,0.392,,,,,,,6
866,0,2,201.9,0.3,-0.3,0,0.77,0.02,-0.02,113.513252,-22.296066,25.99,0.16,-0.16,25.99,0.16,-0.16,4.44,4.234,6245,80,-80,1.5,0.09,-0.09,2.57,0.12,-0.12,-2.8,29.1,0.9,-0.9,1.06,0.08,-0.08,,,,336.8998,25.4264,-25.4264,336.8998,25.4264,-25.4264,,,,,,,,,,,0,44,28,7.56755015,237.497979,-1.189628,120.467053,-43.280028,38.48,0.23,-0.23,38.48,0.23,-0.23,-39.8,0.4,46.5,0.4,61.2,0.4,-39.8,0.4,46.5,0.4,61.2,0.4,60.7,0.1,-0.1,3.6,3.8,0.07,-0.07,,,,-0.26,,,2.8,0.1,-0.6,8,,,4.44,,4.96,,4.13,3.703,0.27,3.318,0.24,3.355,0.286,3.177,0.533,2.037,,3.163,0.011,3.131,0.022,1,33,0.06,,,,0.385,0.361,-0.037,0.373,0.348,0.393,,,,,,,16
867,0,2,600.1,2.4,-2.4,0,1.6,0.04,-0.04,113.513252,-22.296066,25.99,0.16,-0.16,25.99,0.16,-0.16,4.44,4.234,6245,80,-80,1.5,0.09,-0.09,2.57,0.12,-0.12,-100.1,46.1,1,-1,2.51,0.16,-0.16,,,,797.7533,50.8528,-50.8528,797.7533,50.8528,-50.8528,,,,,,,,,,,0,44,28,7.56755015,237.497979,-1.189628,120.467053,-43.280028,38.48,0.23,-0.23,38.48,0.23,-0.23,-39.8,0.4,46.5,0.4,61.2,0.4,-39.8,0.4,46.5,0.4,61.2,0.4,60.7,0.1,-0.1,3.6,3.8,0.07,-0.07,,,,-0.26,,,2.8,0.1,-0.6,8,,,4.44,,4.96,,4.13,3.703,0.27,3.318,0.24,3.355,0.286,3.177,0.533,2.037,,3.163,0.011,3.131,0.022,1,33,0.06,,,,0.385,0.361,-0.037,0.373,0.348,0.393,,,,,,,16
868,0,1,589.64,0.81,-0.81,0,1.64,0.27,-0.27,116.328957,28.026199,10.34,0.09,-0.09,,,,1.14,,4946,18,-18,2.1,0.08,-0.08,8.31,0.09,-0.09,-4.5,41,1.6,-1.6,2.3,0.45,-0.45,,,,731,140,-140,731,140,-140,,,,,,,,,,,0,49,29,7.75526377,192.229328,23.406346,113.215639,6.684188,96.74,0.87,-0.87,,,,-625.69,1.02,-45.95,0.53,627.37,1.02,,,,,,,,,,5,3.07,0.06,-0.06,1.59,0.04,-0.04,0.07,0.05,-0.05,0.98,0.13,-0.13,,,,1.14,,2.14,,,-0.315,0.232,-0.845,0.178,-0.936,0.16,-0.908,,1.39,,-0.878,0.418,-1.174,0.009,0,17,0.86,,1,,0.53,0.292,0.091,0.239,0.621,0.282,,,,,,,6
869,0,2,7.10793,0.0004,-0.00034,0,0.0719,0.0031,-0.0044,117.479424,27.363182,22.42,0.02,-0.02,22.42,0.02,-0.02,6.9,6.718,5640,74,-74,0.99,0.03,-0.03,0.91,0.03,-0.03,,,,,,,,,,,,,,,,,2.15,0.1,-0.1,0.02,0.001,-0.001,0.0467,0.02161,0.00055,-0.00055,0,31,20,7.83196157,193.2819,24.147599,114.344691,6.216661,44.61,0.04,-0.04,44.61,0.04,-0.04,-10.027,0.085,-11.314,0.049,15.118,0.067,-10.027,0.085,-11.314,0.049,15.118,0.067,-15.81,0.1,-0.1,4.5,,,,-0.123,0.015,-0.015,,,,0.414,0.023,-0.023,7.28,0.29,-0.29,6.9,0,7.58,0,,5.624,0.043,5.359,0.026,5.258,0.016,5.246,0.178,5.129,0.087,5.297,0.016,5.163,0.031,,15,,,0.68,0,0.265,0.05,0.101,0.031,0.366,0.046,,,,,,,6
870,0,2,20.5453,0.0012,-0.0013,0,0.1458,0.0062,-0.0101,117.479424,27.363182,22.42,0.02,-0.02,22.42,0.02,-0.02,6.9,6.718,5640,74,-74,0.99,0.03,-0.03,0.91,0.03,-0.03,,,,,,,,,,,,,,,,,2.67,0.12,-0.12,0.024,0.001,-0.001,0.0722,0.02687,0.0007,-0.0007,0,31,20,7.83196157,193.2819,24.147599,114.344691,6.216661,44.61,0.04,-0.04,44.61,0.04,-0.04,-10.027,0.085,-11.314,0.049,15.118,0.067,-10.027,0.085,-11.314,0.049,15.118,0.067,-15.81,0.1,-0.1,4.5,,,,-0.123,0.015,-0.015,,,,0.414,0.023,-0.023,7.28,0.29,-0.29,6.9,0,7.58,0,,5.624,0.043,5.359,0.026,5.258,0.016,5.246,0.178,5.129,0.087,5.297,0.016,5.163,0.031,,15,,,0.68,0,0.265,0.05,0.101,0.031,0.366,0.046,,,,,,,6
871,0,1,2.81805,0.000071,-0.000071,0,0.04,0,0,114.841049,-78.278969,37.73,0.03,-0.03,37.73,0.03,-0.03,9.37,9.054,4812,28,-28,0.42,0.03,-0.03,0.77,0.01,-0.01,,64.2,1.6,-1.6,0.25,0.01,-0.01,,,,79.4575,3.1783,-3.1783,79.4575,3.1783,-3.1783,,,,,,,,,,,0,57,19,7.65606995,290.35429,-24.138304,248.827909,-76.332085,26.5,0.02,-0.02,26.5,0.02,-0.02,-19.7,0,-39.9,0.1,44.5,0,-19.7,0,-39.9,0.1,44.5,0,33.84,0,0,5.4,4.28,0.03,-0.03,,,,0.1,,,,,,1.9,,,9.37,,10.376,,,7.596,0.018,7.18,0.044,6.998,0.027,6.932,0.066,6.992,0.021,6.954,0.016,6.965,0.059,,15,,,1.006,,0.416,0.048,0.182,0.052,0.598,0.032,,,,,,,6
872,0,1,358,1,-1,0,0.94,0.02,-0.02,116.957161,-54.264145,32.57,0.03,-0.03,32.57,0.03,-0.03,8.1,7.91,5449,11,-11,0.65,0.01,-0.01,0.83,0.01,-0.01,,20.9,1.3,-1.3,0.53,0.03,-0.03,,,,168.4499,9.5349,-9.5349,168.4499,9.5349,-9.5349,,,,,,,,,,,0,30,20,7.79714406,267.196696,-14.094317,149.694599,-72.141285,30.7,0.03,-0.03,30.7,0.03,-0.03,148.4,0.1,-278.9,0.1,315.9,0.1,148.4,0.1,-278.9,0.1,315.9,0.1,22.1,0.2,-0.2,4.9,4.41,0,0,,,,-0.16,,,,,,1.63,,,8.1,,8.848,0.017,,6.768,0.024,6.442,0.027,6.316,0.021,6.233,0.099,6.277,0.034,6.327,0.014,6.297,0.044,,14,,,0.75,,0.326,0.036,0.126,0.034,0.452,0.032,0.453,0.002,0.27,0,0.285,0.016,9
